Date,Open,High,Low,Close,Volume,Turnover
2015-04-10,2648.5,2670.8,2628.0,2653.75,907772,240413514280000.03
2015-04-13,2664.0,2665.0,2628.0,2655.5,654321,173401144210000.0
2015-04-15,2654.7,2713.9,2609.4,2627.75,1456967,385551302470000.0
2015-04-16,2626.95,2627.0,2571.35,2582.8,1608785,416641607920000.0
2015-04-17,2557.1,2560.0,2470.0,2474.85,4834371,1206434982295000.0
2015-04-20,2480.05,2483.9,2424.85,2428.8,1445361,352590267395000.0
2015-04-21,2428.8,2452.0,2401.0,2427.05,1273016,309446530515000.0
2015-04-22,2431.5,2473.0,2407.55,2445.1,2093406,508334211700000.0
2015-04-23,2472.0,2479.8,2431.7,2457.25,2171495,534363755360000.06
2015-04-24,2455.3,2514.0,2447.55,2493.05,1812579,451014638785000.06
2015-04-27,2499.5,2520.0,2486.0,2500.2,1366526,341828002790000.0
2015-04-28,2510.0,2510.0,2455.1,2495.0,1544149,382510591630000.0
2015-04-29,2484.0,2495.0,2451.05,2487.3,1009810,249655948465000.0
2015-04-30,2480.0,2490.0,2427.1,2463.7,1869027,459977844870000.0
2015-05-04,2491.0,2504.8,2457.2,2481.55,945315,234073697215000.0
2015-05-05,2501.0,2536.45,2500.0,2517.85,1627535,409966148545000.0
2015-05-06,2515.0,2515.0,2455.8,2463.05,1697203,418947716170000.0
2015-05-07,2464.9,2553.75,2453.7,2545.25,1602514,404255751035000.0
2015-05-08,2560.0,2588.0,2516.3,2527.25,1501832,383278539450000.0
2015-05-11,2535.0,2563.05,2525.0,2556.0,1286541,328076548915000.0
2015-05-12,2560.0,2565.0,2513.0,2522.9,1233693,311495784250000.0
2015-05-13,2547.0,2547.0,2480.45,2515.4,931887,233944172500000.0
2015-05-14,2520.0,2520.0,2485.0,2499.25,654525,163309628080000.0
2015-05-15,2515.0,2532.4,2501.0,2511.15,730727,183571305660000.0
2015-05-18,2514.1,2525.25,2497.1,2520.4,2253876,564689060255000.0
2015-05-19,2519.4,2530.0,2496.75,2512.7,978861,245887370644999.97
2015-05-20,2520.0,2569.9,2516.9,2557.05,948907,241979005775000.0
2015-05-21,2557.0,2580.0,2548.15,2555.5,789789,202646360790000.0
2015-05-22,2550.0,2628.75,2539.25,2617.9,1345816,349190591545000.0
2015-05-25,2620.0,2636.9,2585.7,2601.0,491489,128083358180000.0
2015-05-26,2605.0,2623.25,2588.9,2608.85,980870,256024103810000.0
2015-05-27,2608.0,2633.15,2592.0,2615.25,810345,211966247105000.0
2015-05-28,2603.9,2623.0,2582.25,2609.5,1381804,360180969170000.0
2015-05-29,2617.0,2648.6,2597.25,2610.3,2211766,578269551475000.0
2015-06-01,2609.45,2647.1,2608.35,2617.75,441132,115683989800000.0
2015-06-02,2616.0,2630.0,2590.5,2599.9,1967910,512747187110000.06
2015-06-03,2604.0,2625.6,2590.5,2610.9,902342,235655199660000.0
2015-06-04,2617.1,2622.8,2588.5,2605.65,2065734,538497445995000.0
2015-06-05,2592.0,2609.0,2570.0,2575.85,1154267,298206645760000.0
2015-06-08,2590.0,2590.0,2561.65,2577.45,785160,202278895920000.0
2015-06-09,2585.0,2590.0,2551.0,2561.65,1289457,331973563270000.0
2015-06-10,2566.0,2610.0,2563.8,2600.75,1381675,357380330830000.0
2015-06-11,2605.5,2613.0,2556.75,2571.3,923668,238769812969999.97
2015-06-12,2571.9,2588.95,2476.8,2505.8,1285728,324865219385000.0
2015-06-15,2505.3,2520.45,2481.0,2504.8,1262588,316033534025000.0
2015-06-16,2500.0,2519.3,2494.45,2512.0,633698,159102618710000.0
2015-06-17,2521.0,2529.15,2501.8,2513.8,987860,248550405310000.0
2015-06-18,2515.0,2546.3,2508.0,2530.05,1082523,274212353610000.0
2015-06-19,2535.0,2555.0,2527.1,2549.55,999805,254629633765000.0
2015-06-22,2547.0,2600.0,2547.0,2591.5,551001,142549477735000.0
2015-06-23,2600.0,2608.0,2567.2,2574.6,449159,115974000365000.02
2015-06-24,2580.0,2587.9,2558.85,2570.3,585123,150565166150000.0
2015-06-25,2562.0,2573.0,2544.15,2550.0,965496,246568219255000.03
2015-06-26,2550.2,2596.35,2550.2,2592.8,645051,166411238155000.0
2015-06-29,2572.0,2604.0,2543.4,2592.9,686378,176376823470000.0
2015-06-30,2585.0,2588.75,2540.0,2550.95,774976,198163432605000.0
2015-07-01,2563.9,2608.0,2556.75,2593.1,639854,165364373950000.0
2015-07-02,2600.0,2602.95,2571.05,2577.75,722940,186793958395000.0
2015-07-03,2573.05,2610.0,2570.0,2603.9,481735,125019006759999.98
2015-07-06,2580.3,2645.0,2580.3,2633.3,591169,154499884340000.0
