Date,Date,Open,High,Low,Close,Volume,Turnover,Year,Month,Day,WeekOfYear,vol_(t+1),volume_shock,VOL_SHOCK_DIR,price_t+1,price_shock,price_black_swan,PRICE_SHOCK_DIR,BLACK_SWAN_SHOCK_DIR,not_vol_shock,price_shock_w/0_vol_shock
2015-07-04,2015-07-03,2573.05,2610.0,2570.0,2603.9,481735,125019006759999.98,2015,7,3,27,481735.0,0,,2603.9,0,0,,,1,0
2015-07-05,2015-07-03,2573.05,2610.0,2570.0,2603.9,481735,125019006759999.98,2015,7,3,27,481735.0,0,,2603.9,0,0,,,1,0
2015-07-06,2015-07-06,2580.3,2645.0,2580.3,2633.3,591169,154499884340000.0,2015,7,6,28,481735.0,1,0.0,2603.9,0,0,,,0,0
2015-07-07,2015-07-07,2632.75,2646.9,2603.0,2616.25,821418,215851041305000.03,2015,7,7,28,591169.0,1,0.0,2633.3,0,0,,,0,0
2015-07-08,2015-07-08,2597.95,2621.7,2580.5,2595.1,1333925,346374532860000.0,2015,7,8,28,821418.0,1,0.0,2616.25,0,0,,,0,0
2015-07-09,2015-07-09,2595.0,2598.25,2506.65,2522.5,1967061,499706943690000.0,2015,7,9,28,1333925.0,1,0.0,2595.1,1,1,1.0,1.0,0,0
2015-07-10,2015-07-10,2559.0,2559.0,2455.0,2474.35,4131827,1028599040490000.0,2015,7,10,28,1967061.0,1,0.0,2522.5,0,0,,,0,0
2015-07-11,2015-07-10,2559.0,2559.0,2455.0,2474.35,4131827,1028599040490000.0,2015,7,10,28,4131827.0,0,,2474.35,0,0,,,1,0
2015-07-12,2015-07-10,2559.0,2559.0,2455.0,2474.35,4131827,1028599040490000.0,2015,7,10,28,4131827.0,0,,2474.35,0,0,,,1,0
2015-07-13,2015-07-13,2475.4,2518.6,2475.4,2509.55,1140154,285294609545000.0,2015,7,13,29,4131827.0,1,1.0,2474.35,0,0,,,0,0
2015-07-14,2015-07-14,2511.0,2515.0,2490.0,2499.5,851637,212876735585000.0,2015,7,14,29,1140154.0,1,1.0,2509.55,0,0,,,0,0
2015-07-15,2015-07-15,2501.0,2549.95,2500.0,2545.75,1001830,253916925965000.0,2015,7,15,29,851637.0,1,0.0,2499.5,0,0,,,0,0
2015-07-16,2015-07-16,2543.7,2558.85,2526.6,2540.2,728304,185246930105000.0,2015,7,16,29,1001830.0,1,1.0,2545.75,0,0,,,0,0
2015-07-17,2015-07-17,2546.8,2570.1,2543.3,2564.4,535263,136921246255000.0,2015,7,17,29,728304.0,1,1.0,2540.2,0,0,,,0,0
2015-07-18,2015-07-17,2546.8,2570.1,2543.3,2564.4,535263,136921246255000.0,2015,7,17,29,535263.0,0,,2564.4,0,0,,,1,0
2015-07-19,2015-07-17,2546.8,2570.1,2543.3,2564.4,535263,136921246255000.0,2015,7,17,29,535263.0,0,,2564.4,0,0,,,1,0
